ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME,AZI,geometry
grid_000982,-7.5,38.5,0.0,295.2686414797474,EU,C,TF,,POINT (-7.5 38.5)
grid_000983,-8.5,39.5,0.0,341.9020548973802,EU,C,NF,,POINT (-8.5 39.5)
grid_000985,-9.5,43.5,0.0,761.5263799011933,EU,C,NF,,POINT (-9.5 43.5)
grid_000986,-10.5,43.5,0.0,761.7467090000515,EU,C,TF,,POINT (-10.5 43.5)
grid_000987,-9.5,44.5,0.0,667.1671081755329,EU,C,SS,,POINT (-9.5 44.5)
grid_000988,-9.5,41.5,0.0,539.8538461138066,EU,C,NF,,POINT (-9.5 41.5)
grid_000989,-8.5,42.5,0.0,661.5999575732683,EU,C,NF,,POINT (-8.5 42.5)
grid_000990,-9.5,42.5,0.0,650.6384722123893,EU,C,TF,,POINT (-9.5 42.5)
grid_000991,-6.5,43.5,0.0,778.2877201087845,EU,C,NF,,POINT (-6.5 43.5)
grid_000992,-7.5,42.5,0.0,683.2435688347166,EU,C,TF,,POINT (-7.5 42.5)
grid_000993,-7.5,43.5,0.0,778.2849305400703,EU,C,TF,,POINT (-7.5 43.5)
grid_000994,-8.5,43.5,0.0,770.7685804831011,EU,C,NF,,POINT (-8.5 43.5)
grid_000995,-8.5,41.5,0.0,553.2136559808753,EU,C,TF,,POINT (-8.5 41.5)
grid_000996,-5.5,43.5,0.0,778.2905096775104,EU,C,NF,,POINT (-5.5 43.5)
grid_000997,-5.5,42.5,0.0,754.1189061527015,EU,C,NF,,POINT (-5.5 42.5)
grid_000998,-6.5,42.5,0.0,721.692070580322,EU,C,NF,,POINT (-6.5 42.5)
grid_000999,-5.5,41.5,0.0,654.2923259612203,EU,C,NF,,POINT (-5.5 41.5)
grid_001000,-6.5,40.5,0.0,533.0479028353179,EU,C,TF,,POINT (-6.5 40.5)
grid_001001,-5.5,40.5,0.0,550.2390506123417,EU,C,TF,,POINT (-5.5 40.5)
grid_001003,-7.5,41.5,0.0,579.3064885561386,EU,C,TF,,POINT (-7.5 41.5)
