ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR,SOURCE_FILE
grid_000078,10.6,44.6,POINT (10.6 44.6),EU,TF,616.0272054896068,C,0.0,173.62349,6.3765106,0.7275351,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000089,10.6,44.8,POINT (10.6 44.8),EU,TF,633.8856970583861,C,0.0,178.27623,1.7237701,0.7094386,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000089,10.6,45.0,POINT (10.6 45),EU,TF,611.6597324207313,C,0.0,171.79807,8.201935,0.70235795,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000001,10.8,40.2,POINT (10.8 40.2),EU,TF,128.9935808552613,C,0.0,118.972015,61.027985,0.27561402,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000001,10.8,40.4,POINT (10.8 40.4),EU,TF,150.46357583519568,C,0.0,108.69249,71.30751,0.37031126,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000011,10.8,40.6,POINT (10.8 40.6),EU,TF,172.34640353316755,C,0.0,104.62637,75.37363,0.45714748,iS-GNN_grid_0p6Br_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000011,10.8,40.8,POINT (10.8 40.8),EU,TF,194.30397524162575,C,0.0,106.6705,73.3295,0.46037555,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000011,10.8,41.0,POINT (10.8 41),EU,TF,216.3137692797248,C,0.0,105.322556,74.677444,0.42850542,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000021,10.8,41.2,POINT (10.8 41.2),EU,TF,238.3615364954864,C,0.0,106.64348,73.35652,0.42885557,iS-GNN_grid_0p6Br_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000021,10.8,41.4,POINT (10.8 41.4),EU,TF,260.4378316222489,C,0.0,105.06502,74.93498,0.42192858,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000021,10.8,41.6,POINT (10.8 41.6),EU,TF,282.53615082780954,C,0.0,109.39814,70.60186,0.33312967,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000031,10.8,42.2,POINT (10.8 42.2),EU,TF,348.92287534163086,B,0.0,136.43546,43.564545,0.13627413,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
