ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME_1,AZI,geometry
wsm84976,14.89,41.71,20.9,329.0,EU,C,SS,118.0,POINT (14.89 41.71)
wsm85515,14.65,44.98,9.0,691.0,EU,C,TS,2.0,POINT (14.65 44.98)
wsm85595,11.98,43.89,10.0,538.0,EU,C,NF,148.0,POINT (11.98 43.89)
wsm85596,11.95,43.89,4.0,538.0,EU,C,NF,137.0,POINT (11.95 43.89)
wsm85598,11.76,43.93,10.0,541.0,EU,C,NF,145.0,POINT (11.76 43.93)
wsm86042,14.95,42.93,15.0,465.0,EU,C,TF,23.0,POINT (14.95 42.93)
wsm86055,15.22,42.89,15.0,463.0,EU,C,TF,17.0,POINT (15.22 42.89)
wsm86056,15.63,43.24,4.0,493.0,EU,C,TF,35.0,POINT (15.63 43.24)
wsm86060,15.22,43.16,10.0,492.0,EU,C,TF,1.0,POINT (15.22 43.16)
wsm86065,15.22,43.08,15.0,484.0,EU,C,TF,13.0,POINT (15.22 43.08)
wsm86077,15.24,43.15,15.0,492.0,EU,C,TF,15.0,POINT (15.24 43.15)
wsm86085,15.23,43.12,6.0,488.0,EU,C,TF,150.0,POINT (15.23 43.12)
wsm86102,15.12,43.29,15.0,506.0,EU,C,TF,175.0,POINT (15.12 43.29)
wsm86236,15.01,43.22,15.0,497.0,EU,C,TF,11.0,POINT (15.01 43.22)
wsm86249,15.54,43.26,4.0,498.0,EU,C,TF,177.0,POINT (15.54 43.26)
wsm86277,15.4,43.08,15.0,485.0,EU,C,TF,40.0,POINT (15.4 43.08)
wsm86282,15.49,43.22,6.0,496.0,EU,C,TF,39.0,POINT (15.49 43.22)
wsm86322,15.33,43.11,15.0,488.0,EU,C,TF,48.0,POINT (15.33 43.11)
wsm86629,14.86,41.6,18.8,317.0,EU,C,SS,123.0,POINT (14.86 41.6)
wsm86838,15.13,43.15,16.0,490.0,EU,C,TF,178.0,POINT (15.13 43.15)
wsm87744,11.22,44.26,18.0,577.0,EU,C,TF,168.0,POINT (11.22 44.26)
wsm87746,11.4,44.27,21.0,578.0,EU,C,TF,152.0,POINT (11.4 44.27)
wsm88819,11.95,44.22,16.6,574.0,EU,C,TF,27.0,POINT (11.95 44.22)
wsm89581,12.58,44.48,21.0,610.0,EU,C,SS,138.0,POINT (12.58 44.48)
wsm91847,15.68,40.7,12.0,237.0,EU,C,NF,159.0,POINT (15.68 40.7)
wsm93260,15.22,43.15,12.0,491.0,EU,C,TF,22.0,POINT (15.22 43.15)
wsm93262,15.74,43.07,6.0,472.0,EU,C,TF,148.0,POINT (15.74 43.07)
wsm93314,15.36,43.07,6.0,484.0,EU,C,TF,30.0,POINT (15.36 43.07)
wsm93373,15.09,42.96,16.4,469.0,EU,C,TF,17.0,POINT (15.09 42.96)
wsm93379,15.46,43.08,6.0,483.0,EU,C,TF,15.0,POINT (15.46 43.08)
wsm93486,10.16,40.83,6.0,212.0,EU,C,TF,96.0,POINT (10.16 40.83)
wsm93572,10.08,40.95,15.0,227.0,EU,C,TF,80.0,POINT (10.08 40.95)
wsm94479,15.43,43.16,4.0,492.0,EU,C,TF,17.0,POINT (15.43 43.16)
wsm96675,12.12,44.21,18.0,575.0,EU,C,TF,41.0,POINT (12.12 44.21)
wsm97221,12.4,41.37,17.0,267.0,EU,C,SS,27.0,POINT (12.4 41.37)
