AZI_PRED_A,LON,LAT,SET,AZI_PRED_B,,,
12.017872,15.6,42.6,E,13,0.982128,,
141.04192,14.6,40.4,I,142,0.95808,,
21.063679,16,43.4,G,22,0.936321,,
19.86079,15.4,43.4,G,19,0.86079,,
150.17867,15,40.2,E,151,0.82133,,
16.770144,15.2,43.4,I,16,0.770144,,
22.769335,16,43.2,D,22,0.769335,,
139.7198,14.8,41.2,A,139,0.7198,,
45.321262,13.4,44,I,46,0.678738,,
130.6776,14.6,42,F,130,0.6776,,
150.33945,13.4,42.6,F,151,0.66055,,
22.655628,15.6,43.4,H,22,0.655628,,
144.36975,13.6,41.4,D,145,0.63025,,
