SHAZI,Lat,Lon,CONF90%,ANNU,WSM_DATA,CLUSTERS
148,41.600,15.800,23.000,1,4,4
139,41.600,16.000,11.000,2,10,10
154,41.800,11.400,37.000,3,4,3
133,41.800,11.600,52.000,3,6,5
151,41.800,11.800,23.000,3,8,6
154,41.800,12.000,29.000,3,9,7
154,41.800,12.200,47.000,2,3,3
133,41.800,12.400,24.000,3,13,10
136,41.800,12.600,52.000,2,4,4
133,41.800,12.800,24.000,2,5,5
136,41.800,13.000,12.000,2,12,10
139,41.800,13.200,9.000,2,21,14
139,41.800,13.400,8.000,1,6,6
136,41.800,13.600,7.000,1,11,11
142,41.800,13.800,8.000,1,12,12
142,41.800,14.000,14.000,1,6,6
151,41.800,14.200,12.000,1,3,3
130,41.800,14.400,12.000,2,39,21
124,41.800,14.600,8.000,1,12,12
127,41.800,14.800,7.000,1,16,16
127,41.800,15.000,7.000,1,14,14
142,41.800,15.200,27.000,1,3,3
133,41.800,15.400,8.000,2,29,18
133,41.800,15.600,14.000,1,4,4
133,41.800,15.800,15.000,1,5,5
130,41.800,16.000,14.000,1,5,5
160,42.000,11.000,40.000,3,3,3
151,42.000,11.200,34.000,3,5,3
148,42.000,11.400,30.000,3,9,6
148,42.000,11.600,30.000,3,11,6
151,42.000,11.800,22.000,3,14,9
133,42.000,12.000,22.000,3,17,12
130,42.000,12.200,18.000,3,17,13
136,42.000,12.400,17.000,3,48,16
109,42.000,12.600,30.000,2,5,5
130,42.000,12.800,22.000,2,7,7
139,42.000,13.000,10.000,2,31,17
136,42.000,13.200,10.000,2,45,20
136,42.000,13.400,9.000,1,5,5
136,42.000,13.600,8.000,1,6,6
136,42.000,13.800,10.000,1,7,7
145,42.000,14.000,23.000,1,3,3
142,42.000,14.200,13.000,2,38,26
130,42.000,14.400,13.000,2,38,24
130,42.000,14.600,10.000,1,8,8
127,42.000,14.800,8.000,1,12,12
124,42.000,15.000,11.000,1,8,8
133,42.000,15.200,9.000,2,28,16
139,42.000,15.400,10.000,2,23,14
154,42.000,15.600,19.000,1,4,4
139,42.000,15.800,15.000,1,5,5
130,42.000,16.000,12.000,1,5,5
178,42.200,10.800,40.000,3,4,4
148,42.200,11.000,34.000,3,10,6
148,42.200,11.200,34.000,3,12,7
154,42.200,11.400,21.000,2,4,4
154,42.200,11.600,21.000,2,5,4
154,42.200,11.800,21.000,2,5,4
157,42.200,12.000,27.000,2,6,5
157,42.200,12.200,24.000,2,6,5
118,42.200,12.400,27.000,2,7,7
112,42.200,12.600,26.000,2,6,6
142,42.200,12.800,12.000,2,41,18
142,42.200,13.000,11.000,2,53,18
148,42.200,13.200,7.000,1,13,13
145,42.200,13.400,7.000,1,19,19
142,42.200,13.600,8.000,1,11,11
115,42.200,13.800,23.000,1,3,3
112,42.200,14.000,40.000,1,3,3
118,42.200,14.200,32.000,1,3,3
130,42.200,14.400,29.000,1,6,6
130,42.200,14.600,25.000,1,4,4
133,42.200,14.800,16.000,1,5,5
136,42.200,15.000,14.000,2,25,14
139,42.200,15.200,11.000,2,24,14
139,42.200,15.400,12.000,2,16,12
157,42.200,15.600,16.000,1,3,3
157,42.200,15.800,16.000,1,3,3
142,42.200,16.000,22.000,2,13,12
1,42.400,10.600,58.000,3,9,8
169,42.400,10.800,44.000,3,17,12
166,42.400,11.000,35.000,3,17,11
178,42.400,11.200,31.000,2,4,4
151,42.400,11.400,21.000,2,11,8
148,42.400,11.600,23.000,2,12,9
154,42.400,11.800,17.000,1,4,4
154,42.400,12.000,19.000,1,3,3
154,42.400,12.200,24.000,2,10,9
124,42.400,12.400,39.000,2,13,11
154,42.400,12.600,17.000,2,14,12
142,42.400,12.800,11.000,2,77,28
109,42.400,13.000,37.000,1,3,3
148,42.400,13.200,5.000,1,36,36
145,42.400,13.400,5.000,1,36,36
